,Year,State_x,Area planted,Area harvested for grain,Yield,Production,GM corn area,Agri GDP,Normalised Agri GDP,All crops planted acreage,Agri exports ,Corn exports,ST,OCC_TITLE,TOT_EMP,H_MEAN,A_MEAN,H_MEDIAN,A_MEDIAN,JOBS_1000,Population,N_TOT_EMP_1000,Acres operated in agriculture,N_GM_corn_area ,N_agri_exports,N_corn_exports
10,2005,Missouri,3100000,2970000,111,329670000,1705000,3948000000,133.83,13444000,1696000000,170000000,MO,"Farm, ranch, and other agricultural managers",50.0,30.0,62360.0,26.0,54610.0,,5790300,0.00864,29500000,0.0578,57.49153,5.76271
11,2005,Nebraska,8500000,8250000,154,1270500000,5865000,6412000000,140.31,18867000,2492000000,535000000,NE,"Farm, ranch, and other agricultural managers",160.97,21.0,43030.0,20.0,41230.0,,1761497,0.09138,45700000,0.12834,54.52954,11.70678
12,2005,Nebraska,8500000,8250000,154,1270500000,5865000,6412000000,140.31,18867000,2492000000,535000000,NE,"Agricultural workers, all other",150.0,8.0,17480.0,8.0,17050.0,,1761497,0.08515,45700000,0.12834,54.52954,11.70678
13,2005,North Dakota,1410000,1200000,129,154800000,1057000,2300000000,58.38,21317000,1650000000,49000000,ND,"Agricultural workers, all other",160.97,10.0,20710.0,10.0,20730.0,,646089,0.24915,39400000,0.02683,41.87817,1.24365
14,2005,Ohio,3450000,3250000,143,464750000,621000,3570000000,251.41,10103000,1659000000,195000000,OH,"Farm, ranch, and other agricultural managers",30.0,28.0,57290.0,22.0,45550.0,,11463320,0.00262,14200000,0.04373,116.83099,13.73239
15,2005,Ohio,3450000,3250000,143,464750000,621000,3570000000,251.41,10103000,1659000000,195000000,OH,"Agricultural workers, all other",60.0,13.0,26600.0,12.0,24650.0,,11463320,0.00523,14200000,0.04373,116.83099,13.73239
16,2005,Texas,2050000,1850000,114,210900000,1476000,12684000000,97.72,22265000,3649000000,94000000,TX,"Farm, ranch, and other agricultural managers",210.0,20.0,41250.0,20.0,41300.0,,22778123,0.00922,129800000,0.01137,28.11248,0.72419
17,2005,Texas,2050000,1850000,114,210900000,1476000,12684000000,97.72,22265000,3649000000,94000000,TX,"Agricultural workers, all other",120.0,8.0,16090.0,7.0,15520.0,,22778123,0.00527,129800000,0.01137,28.11248,0.72419
18,2005,Wisconsin,3800000,2900000,148,429200000,1748000,5300000000,344.16,8197000,1171000000,145000000,WI,"Farm, ranch, and other agricultural managers",30.0,28.0,57190.0,28.0,59160.0,,5546166,0.00541,15400000,0.11351,76.03896,9.41558
19,2005,Wisconsin,3800000,2900000,148,429200000,1748000,5300000000,344.16,8197000,1171000000,145000000,WI,"Agricultural workers, all other",230.0,11.0,22290.0,10.0,20350.0,,5546166,0.04147,15400000,0.11351,76.03896,9.41558
20,2006,Illinois,11300000,11150000,163,1817450000,6215000,5885000000,218.77,23202000,4085000000,1188000000,IL,"Farm, ranch, and other agricultural managers",160.97,18.0,37070.0,21.0,42920.0,,12643955,0.01273,26900000,0.23104,151.85874,44.16357
21,2006,Illinois,11300000,11150000,163,1817450000,6215000,5885000000,218.77,23202000,4085000000,1188000000,IL,"Agricultural workers, all other",120.0,18.0,36650.0,15.0,31230.0,,12643955,0.00949,26900000,0.23104,151.85874,44.16357
22,2006,Indiana,5500000,5380000,157,844660000,2200000,3949000000,265.03,12325000,2397000000,563000000,IN,"Farm, ranch, and other agricultural managers",40.0,22.0,46420.0,21.0,43960.0,,6332669,0.00632,14900000,0.14765,160.87248,37.78523
23,2006,Iowa,12600000,12350000,166,2050100000,8064000,8183000000,264.82,24455000,5266000000,1345000000,IA,"Farm, ranch, and other agricultural managers",110.0,25.0,52090.0,24.0,49070.0,,2982644,0.03688,30900000,0.26097,170.42071,43.52751
24,2006,Iowa,12600000,12350000,166,2050100000,8064000,8183000000,264.82,24455000,5266000000,1345000000,IA,"Agricultural workers, all other",430.0,14.0,29810.0,10.0,21760.0,,2982644,0.14417,30900000,0.26097,170.42071,43.52751
25,2006,Kansas,3350000,3000000,115,345000000,2278000,4284000000,90.28,22506000,2330000000,278000000,KS,"Farm, ranch, and other agricultural managers",70.0,28.0,57540.0,28.0,57780.0,,2762931,0.02534,47450000,0.04801,49.10432,5.8588
26,2006,Kansas,3350000,3000000,115,345000000,2278000,4284000000,90.28,22506000,2330000000,278000000,KS,"Agricultural workers, all other",50.0,11.0,23160.0,9.0,19480.0,,2762931,0.0181,47450000,0.04801,49.10432,5.8588
27,2006,Michigan,2200000,1960000,147,288120000,968000,4161000000,411.98,6499000,1433000000,176000000,MI,"Agricultural workers, all other",220.0,14.0,30010.0,11.0,22270.0,,10036081,0.02192,10100000,0.09584,141.88119,17.42574
28,2006,Minnesota,7300000,6850000,161,1102850000,5329000,7448000000,275.85,19684000,3512000000,681000000,MN,"Agricultural workers, all other",240.0,10.0,19770.0,9.0,18700.0,,5163555,0.04648,27000000,0.19737,130.07407,25.22222
29,2006,Missouri,2700000,2630000,138,362940000,1593000,4444000000,151.67,13855000,1859000000,222000000,MO,"Farm, ranch, and other agricultural managers",50.0,35.0,71850.0,27.0,56320.0,,5842704,0.00856,29300000,0.05437,63.4471,7.57679
30,2006,Missouri,2700000,2630000,138,362940000,1593000,4444000000,151.67,13855000,1859000000,222000000,MO,"Agricultural workers, all other",160.97,11.0,22360.0,10.0,21260.0,,5842704,0.02755,29300000,0.05437,63.4471,7.57679
31,2006,Nebraska,8100000,7750000,152,1178000000,6156000,5550000000,121.44,18639000,3077000000,759000000,NE,"Farm, ranch, and other agricultural managers",160.97,25.0,52670.0,21.0,43560.0,,1772693,0.09081,45700000,0.1347,67.33042,16.60832
32,2006,Nebraska,8100000,7750000,152,1178000000,6156000,5550000000,121.44,18639000,3077000000,759000000,NE,"Agricultural workers, all other",70.0,13.0,26660.0,11.0,22920.0,,1772693,0.03949,45700000,0.1347,67.33042,16.60832
33,2006,North Dakota,1690000,1400000,111,155400000,1402000,2582000000,65.53,21501000,1912000000,94000000,ND,"Agricultural workers, all other",70.0,11.0,23280.0,11.0,22100.0,,649422,0.10779,39400000,0.03558,48.52792,2.38579
34,2006,Ohio,3150000,2960000,159,470640000,819000,3947000000,279.93,10082000,1940000000,335000000,OH,"Farm, ranch, and other agricultural managers",40.0,28.0,57460.0,24.0,49640.0,,11481213,0.00348,14100000,0.05809,137.58865,23.75887
35,2006,Ohio,3150000,2960000,159,470640000,819000,3947000000,279.93,10082000,1940000000,335000000,OH,"Agricultural workers, all other",160.97,10.0,21340.0,7.0,15060.0,,11481213,0.01402,14100000,0.05809,137.58865,23.75887
36,2006,South Dakota,4500000,3220000,97,312340000,3870000,2399000000,54.9,16222000,1441000000,223000000,SD,"Farm, ranch, and other agricultural managers",160.97,21.0,43850.0,18.0,37890.0,,783033,0.20557,43700000,0.08856,32.97483,5.10297
37,2006,Texas,1760000,1450000,121,175450000,1355000,11681000000,90.06,22315000,4130000000,163000000,TX,"Farm, ranch, and other agricultural managers",150.0,21.0,42850.0,20.0,41520.0,,23359580,0.00642,129700000,0.01045,31.84271,1.25675
38,2006,Texas,1760000,1450000,121,175450000,1355000,11681000000,90.06,22315000,4130000000,163000000,TX,"Agricultural workers, all other",160.97,9.0,17890.0,7.0,13930.0,,23359580,0.00689,129700000,0.01045,31.84271,1.25675
39,2006,Wisconsin,3650000,2800000,143,400400000,1825000,5501000000,359.54,8143000,1515000000,282000000,WI,"Farm, ranch, and other agricultural managers",30.0,29.0,59340.0,29.0,61120.0,,5577655,0.00538,15300000,0.11928,99.01961,18.43137
40,2006,Wisconsin,3650000,2800000,143,400400000,1825000,5501000000,359.54,8143000,1515000000,282000000,WI,"Agricultural workers, all other",120.0,13.0,26130.0,13.0,26090.0,,5577655,0.02151,15300000,0.11928,99.01961,18.43137
41,2007,Illinois,13200000,13050000,175,2283750000,9768000,6170000000,230.22,23301000,5847000000,1762000000,IL,"Farm, ranch, and other agricultural managers",160.97,21.0,43190.0,24.0,49530.0,,12695866,0.01268,26800000,0.36448,218.17164,65.74627
42,2007,Illinois,13200000,13050000,175,2283750000,9768000,6170000000,230.22,23301000,5847000000,1762000000,IL,"Agricultural workers, all other",70.0,19.0,38760.0,17.0,35650.0,,12695866,0.00551,26800000,0.36448,218.17164,65.74627
43,2007,Indiana,6500000,6370000,155,987350000,3835000,3848000000,260.0,12355000,3245000000,818000000,IN,"Farm, ranch, and other agricultural managers",80.0,26.0,54250.0,25.0,51030.0,,6379599,0.01254,14800000,0.25912,219.25676,55.27027
44,2007,Indiana,6500000,6370000,155,987350000,3835000,3848000000,260.0,12355000,3245000000,818000000,IN,"Agricultural workers, all other",40.0,14.0,29530.0,9.0,19100.0,,6379599,0.00627,14800000,0.25912,219.25676,55.27027
45,2007,Iowa,14200000,13850000,171,2368350000,11076000,8083000000,262.44,24410000,6830000000,1763000000,IA,"Farm, ranch, and other agricultural managers",70.0,23.0,47200.0,19.0,40310.0,,2999212,0.02334,30800000,0.35961,221.75325,57.24026
46,2007,Iowa,14200000,13850000,171,2368350000,11076000,8083000000,262.44,24410000,6830000000,1763000000,IA,"Agricultural workers, all other",810.0,14.0,29470.0,12.0,24360.0,,2999212,0.27007,30800000,0.35961,221.75325,57.24026
47,2007,Kansas,3900000,3700000,140,518000000,3198000,4163000000,89.91,22991000,3394000000,379000000,KS,"Farm, ranch, and other agricultural managers",40.0,28.0,57440.0,25.0,52420.0,,2783785,0.01437,46300000,0.06907,73.30454,8.18575
48,2007,Kansas,3900000,3700000,140,518000000,3198000,4163000000,89.91,22991000,3394000000,379000000,KS,"Agricultural workers, all other",60.0,11.0,23500.0,10.0,19800.0,,2783785,0.02155,46300000,0.06907,73.30454,8.18575
49,2007,Michigan,2650000,2350000,124,291400000,1590000,3307000000,330.7,6527000,1827000000,230000000,MI,"Farm, ranch, and other agricultural managers",70.0,26.0,54870.0,26.0,53570.0,,10001284,0.007,10000000,0.159,182.7,23.0
50,2007,Michigan,2650000,2350000,124,291400000,1590000,3307000000,330.7,6527000,1827000000,230000000,MI,"Agricultural workers, all other",80.0,20.0,40830.0,21.0,42760.0,,10001284,0.008,10000000,0.159,182.7,23.0
51,2007,Minnesota,8400000,7800000,146,1138800000,7224000,5910000000,219.7,19565000,4454000000,878000000,MN,"Agricultural workers, all other",360.0,11.0,22990.0,10.0,21320.0,,5207203,0.06914,26900000,0.26855,165.57621,32.63941
52,2007,Missouri,3450000,3250000,142,461500000,2139000,3615000000,124.66,13953000,2588000000,349000000,MO,"Farm, ranch, and other agricultural managers",40.0,36.0,74530.0,27.0,55770.0,,5887612,0.00679,29000000,0.07376,89.24138,12.03448
53,2007,Missouri,3450000,3250000,142,461500000,2139000,3615000000,124.66,13953000,2588000000,349000000,MO,"Agricultural workers, all other",160.97,11.0,23120.0,11.0,22570.0,,5887612,0.02734,29000000,0.07376,89.24138,12.03448
54,2007,Nebraska,9400000,9200000,160,1472000000,7426000,6071000000,133.14,18813000,4181000000,1094000000,NE,"Farm, ranch, and other agricultural managers",160.97,27.0,55530.0,22.0,45550.0,,1783440,0.09026,45600000,0.16285,91.6886,23.99123
55,2007,Nebraska,9400000,9200000,160,1472000000,7426000,6071000000,133.14,18813000,4181000000,1094000000,NE,"Agricultural workers, all other",160.97,14.0,29200.0,12.0,24840.0,,1783440,0.09026,45600000,0.16285,91.6886,23.99123
56,2007,North Dakota,2550000,2350000,116,272600000,2244000,3104000000,78.38,22059000,3063000000,145000000,ND,"Agricultural workers, all other",140.0,11.0,23700.0,11.0,23160.0,,652822,0.21445,39600000,0.05667,77.34848,3.66162
57,2007,Ohio,3850000,3610000,150,541500000,1578000,3403000000,243.07,10166000,2441000000,395000000,OH,"Farm, ranch, and other agricultural managers",40.0,27.0,55970.0,25.0,51860.0,,11500468,0.00348,14000000,0.11271,174.35714,28.21429
58,2007,Ohio,3850000,3610000,150,541500000,1578000,3403000000,243.07,10166000,2441000000,395000000,OH,"Agricultural workers, all other",80.0,9.0,19730.0,8.0,15920.0,,11500468,0.00696,14000000,0.11271,174.35714,28.21429
59,2007,South Dakota,5000000,4500000,121,544500000,4650000,3283000000,75.13,16637000,2190000000,326000000,SD,"Farm, ranch, and other agricultural managers",160.97,22.0,45110.0,19.0,39320.0,,791623,0.20334,43700000,0.10641,50.11442,7.45995
60,2007,Texas,2150000,2000000,148,296000000,1698000,10025000000,76.88,22629000,4927000000,211000000,TX,"Farm, ranch, and other agricultural managers",120.0,24.0,50100.0,23.0,48020.0,,23831983,0.00504,130400000,0.01302,37.78374,1.6181
61,2007,Texas,2150000,2000000,148,296000000,1698000,10025000000,76.88,22629000,4927000000,211000000,TX,"Agricultural workers, all other",100.0,12.0,24670.0,10.0,21070.0,,23831983,0.0042,130400000,0.01302,37.78374,1.6181
62,2007,Wisconsin,4050000,3280000,135,442800000,2592000,5345000000,351.64,8100000,1818000000,287000000,WI,"Farm, ranch, and other agricultural managers",90.0,27.0,56800.0,29.0,60550.0,,5610775,0.01604,15200000,0.17053,119.60526,18.88158
63,2007,Wisconsin,4050000,3280000,135,442800000,2592000,5345000000,351.64,8100000,1818000000,287000000,WI,"Agricultural workers, all other",160.97,11.0,22420.0,10.0,20240.0,,5610775,0.02869,15200000,0.17053,119.60526,18.88158
64,2008,Illinois,12100000,11900000,179,2130100000,9680000,8214000000,307.64,23251000,7615000000,2361000000,IL,"Farm, ranch, and other agricultural managers",110.0,20.0,42380.0,15.0,30380.0,,12747038,0.00863,26700000,0.36255,285.20599,88.42697
65,2008,Illinois,12100000,11900000,179,2130100000,9680000,8214000000,307.64,23251000,7615000000,2361000000,IL,"Agricultural workers, all other",150.0,21.0,43960.0,21.0,44690.0,,12747038,0.01177,26700000,0.36255,285.20599,88.42697
66,2008,Indiana,5700000,5460000,160,873600000,4446000,4938000000,333.87,12345000,4386000000,1083000000,IN,"Farm, ranch, and other agricultural managers",50.0,29.0,59360.0,26.0,53430.0,,6424806,0.00778,14790000,0.30061,296.55172,73.22515
67,2008,Iowa,13300000,12800000,171,2188800000,11172000,9617000000,313.26,24790000,9842000000,2544000000,IA,"Farm, ranch, and other agricultural managers",100.0,29.0,59840.0,27.0,55310.0,,3016734,0.03315,30700000,0.36391,320.58632,82.86645
68,2008,Iowa,13300000,12800000,171,2188800000,11172000,9617000000,313.26,24790000,9842000000,2544000000,IA,"Agricultural workers, all other",990.0,11.0,22710.0,10.0,21730.0,,3016734,0.32817,30700000,0.36391,320.58632,82.86645
69,2008,Kansas,3850000,3630000,134,486420000,3465000,4866000000,105.32,22964000,4149000000,474000000,KS,"Farm, ranch, and other agricultural managers",70.0,33.0,67620.0,34.0,70590.0,,2808076,0.02493,46200000,0.075,89.80519,10.25974
70,2008,Kansas,3850000,3630000,134,486420000,3465000,4866000000,105.32,22964000,4149000000,474000000,KS,"Agricultural workers, all other",160.97,10.0,19980.0,9.0,19630.0,,2808076,0.05732,46200000,0.075,89.80519,10.25974
71,2008,Michigan,2400000,2140000,138,295320000,1728000,3426000000,343.63,6517000,2317000000,316000000,MI,"Agricultural workers, all other",160.97,17.0,35380.0,15.0,31530.0,,9946889,0.01618,9970000,0.17332,232.39719,31.69509
72,2008,Minnesota,7700000,7200000,164,1180800000,6776000,7978000000,299.92,19778000,6666000000,1272000000,MN,"Agricultural workers, all other",490.0,11.0,23030.0,10.0,21250.0,,5247018,0.09339,26600000,0.25474,250.6015,47.81955
73,2008,Missouri,2800000,2650000,144,381600000,1959000,4502000000,155.24,14100000,3560000000,465000000,MO,"Farm, ranch, and other agricultural managers",160.97,27.0,55790.0,19.0,38600.0,,5923916,0.02717,29000000,0.06755,122.75862,16.03448
74,2008,Nebraska,8800000,8550000,163,1393650000,7568000,6677000000,146.75,18789000,5466000000,1465000000,NE,"Farm, ranch, and other agricultural managers",100.0,31.0,65140.0,25.0,52490.0,,1796378,0.05567,45500000,0.16633,120.13187,32.1978
75,2008,Nebraska,8800000,8550000,163,1393650000,7568000,6677000000,146.75,18789000,5466000000,1465000000,NE,"Agricultural workers, all other",160.97,15.0,31300.0,13.0,26940.0,,1796378,0.08961,45500000,0.16633,120.13187,32.1978
76,2008,North Dakota,2550000,2300000,124,285200000,2269000,4025000000,101.64,23685000,4012000000,275000000,ND,"Agricultural workers, all other",90.0,10.0,20980.0,10.0,20910.0,,657569,0.13687,39600000,0.0573,101.31313,6.94444
77,2008,Ohio,3300000,3120000,135,421200000,2178000,3409000000,245.25,10147000,3398000000,530000000,OH,"Farm, ranch, and other agricultural managers",50.0,27.0,56260.0,26.0,53230.0,,11515391,0.00434,13900000,0.15669,244.46043,38.1295
78,2008,Ohio,3300000,3120000,135,421200000,2178000,3409000000,245.25,10147000,3398000000,530000000,OH,"Agricultural workers, all other",150.0,15.0,31300.0,17.0,34400.0,,11515391,0.01303,13900000,0.15669,244.46043,38.1295
79,2008,Texas,2300000,2030000,125,253750000,1794000,7798000000,59.44,22488000,6044000000,333000000,TX,"Farm, ranch, and other agricultural managers",130.0,25.0,52170.0,23.0,47220.0,,24309039,0.00535,131200000,0.01367,46.06707,2.53811
80,2008,Texas,2300000,2030000,125,253750000,1794000,7798000000,59.44,22488000,6044000000,333000000,TX,"Agricultural workers, all other",140.0,11.0,23380.0,10.0,20850.0,,24309039,0.00576,131200000,0.01367,46.06707,2.53811
81,2008,Wisconsin,3800000,2880000,137,394560000,2850000,4678000000,311.87,8066000,2346000000,341000000,WI,"Farm, ranch, and other agricultural managers",80.0,26.0,54240.0,24.0,50920.0,,5640996,0.01418,15000000,0.19,156.4,22.73333
82,2009,Illinois,12000000,11800000,174,2053200000,10080000,7816000000,290.56,22937000,6660000000,1528000000,IL,"Farm, ranch, and other agricultural managers",110.0,22.0,45950.0,15.0,31080.0,0.019,12796778,0.0086,26900000,0.37472,247.58364,56.80297
83,2009,Illinois,12000000,11800000,174,2053200000,10080000,7816000000,290.56,22937000,6660000000,1528000000,IL,"Agricultural workers, all other",230.0,22.0,46510.0,24.0,49540.0,0.040,12796778,0.01797,26900000,0.37472,247.58364,56.80297
84,2009,Indiana,5600000,5460000,171,933660000,4424000,4963000000,335.56,12155000,3783000000,666000000,IN,"Farm, ranch, and other agricultural managers",50.0,29.0,60240.0,26.0,54600.0,0.020,6459325,0.00774,14790000,0.29912,255.78093,45.03043
85,2009,Indiana,5600000,5460000,171,933660000,4424000,4963000000,335.56,12155000,3783000000,666000000,IN,"Agricultural workers, all other",160.97,13.0,26480.0,11.0,21880.0,0,6459325,0.02492,14790000,0.29912,255.78093,45.03043
86,2009,Iowa,13600000,13300000,182,2420600000,11696000,9764000000,318.05,24648000,8329000000,1619000000,IA,"Farm, ranch, and other agricultural managers",90.0,29.0,60880.0,25.0,52610.0,0.061,3032870,0.02967,30700000,0.38098,271.30293,52.73616
87,2009,Iowa,13600000,13300000,182,2420600000,11696000,9764000000,318.05,24648000,8329000000,1619000000,IA,"Agricultural workers, all other",830.0,11.0,23030.0,11.0,22400.0,0.564,3032870,0.27367,30700000,0.38098,271.30293,52.73616
88,2009,Kansas,4100000,3860000,155,598300000,3731000,6356000000,137.58,22669000,3563000000,363000000,KS,"Farm, ranch, and other agricultural managers",50.0,32.0,66290.0,31.0,64200.0,0.035,2832704,0.01765,46200000,0.08076,77.12121,7.85714
89,2009,Michigan,2350000,2090000,148,309320000,1762000,3523000000,353.36,6436000,1886000000,189000000,MI,"Agricultural workers, all other",140.0,16.0,34050.0,15.0,31000.0,0.036,9901591,0.01414,9970000,0.17673,189.1675,18.95687
90,2009,Minnesota,7600000,7150000,174,1244100000,6688000,7279000000,274.68,19585000,5109000000,752000000,MN,"Agricultural workers, all other",610.0,11.0,23150.0,11.0,22190.0,0.233,5281203,0.1155,26500000,0.25238,192.79245,28.37736
91,2009,Missouri,3000000,2920000,153,446760000,2310000,5110000000,177.43,13536000,2944000000,293000000,MO,"Farm, ranch, and other agricultural managers",160.97,22.0,45020.0,19.0,38630.0,0,5961088,0.027,28800000,0.08021,102.22222,10.17361
92,2009,Missouri,3000000,2920000,153,446760000,2310000,5110000000,177.43,13536000,2944000000,293000000,MO,"Agricultural workers, all other",50.0,12.0,25220.0,12.0,25030.0,0.017,5961088,0.00839,28800000,0.08021,102.22222,10.17361
93,2009,Nebraska,9150000,8850000,178,1575300000,8326000,8075000000,177.47,19010000,4989000000,1035000000,NE,"Farm, ranch, and other agricultural managers",90.0,28.0,59030.0,23.0,47470.0,0.099,1812683,0.04965,45500000,0.18299,109.64835,22.74725
94,2009,North Dakota,1950000,1740000,115,200100000,1813000,4213000000,106.39,21583000,2954000000,168000000,ND,"Agricultural workers, all other",90.0,10.0,21560.0,10.0,21350.0,0.247,664968,0.13534,39600000,0.04578,74.59596,4.24242
95,2009,Ohio,3350000,3140000,174,546360000,2244000,4816000000,347.47,9991000,2832000000,332000000,OH,"Farm, ranch, and other agricultural managers",50.0,28.0,59150.0,29.0,60270.0,0.010,11528896,0.00434,13860000,0.1619,204.329,23.95382
96,2009,Ohio,3350000,3140000,174,546360000,2244000,4816000000,347.47,9991000,2832000000,332000000,OH,"Agricultural workers, all other",40.0,17.0,34860.0,18.0,38360.0,0.009,11528896,0.00347,13860000,0.1619,204.329,23.95382
97,2009,Texas,2350000,1960000,130,254800000,1974000,8514000000,64.55,22419000,4499000000,207000000,TX,"Farm, ranch, and other agricultural managers",150.0,27.0,55980.0,25.0,51070.0,0.014,24801761,0.00605,131900000,0.01497,34.10917,1.56937
98,2009,Texas,2350000,1960000,130,254800000,1974000,8514000000,64.55,22419000,4499000000,207000000,TX,"Agricultural workers, all other",220.0,11.0,22000.0,9.0,18930.0,0.021,24801761,0.00887,131900000,0.01497,34.10917,1.56937
99,2009,Wisconsin,3850000,2930000,153,448290000,2964000,4440000000,297.99,8160000,1802000000,191000000,WI,"Farm, ranch, and other agricultural managers",90.0,29.0,59710.0,28.0,57570.0,0.032,5669264,0.01588,14900000,0.19893,120.9396,12.81879
100,2009,Wisconsin,3850000,2930000,153,448290000,2964000,4440000000,297.99,8160000,1802000000,191000000,WI,"Agricultural workers, all other",150.0,12.0,24250.0,11.0,23010.0,0.057,5669264,0.02646,14900000,0.19893,120.9396,12.81879
101,2010,Illinois,12600000,12400000,157,1946800000,10332000,6664000000,247.73,22687000,7463000000,1670000000,IL,"Farm, ranch, and other agricultural managers",150.0,24.0,50360.0,16.0,33420.0,0.027,12840503,0.01168,26900000,0.38409,277.43494,62.08178
102,2010,Illinois,12600000,12400000,157,1946800000,10332000,6664000000,247.73,22687000,7463000000,1670000000,IL,"Agricultural Workers, All Other",240.0,22.0,45250.0,24.0,48920.0,0.043,12840503,0.01869,26900000,0.38409,277.43494,62.08178
103,2010,Indiana,5900000,5720000,157,898040000,4897000,4425000000,299.19,12140000,4298000000,725000000,IN,"Farm, ranch, and other agricultural managers",60.0,36.0,74130.0,23.0,46840.0,0.022,6490432,0.00924,14790000,0.3311,290.60176,49.01961
104,2010,Iowa,13400000,13050000,165,2153250000,12060000,8894000000,290.65,24595000,9367000000,1720000000,IA,"Farm, ranch, and other agricultural managers",240.0,33.0,67590.0,27.0,55820.0,0.167,3050745,0.07867,30600000,0.39412,306.11111,56.20915
105,2010,Iowa,13400000,13050000,165,2153250000,12060000,8894000000,290.65,24595000,9367000000,1720000000,IA,"Agricultural Workers, All Other",620.0,11.0,22610.0,11.0,22400.0,0.428,3050745,0.20323,30600000,0.39412,306.11111,56.20915
106,2010,Kansas,4850000,4650000,125,581250000,4365000,6256000000,135.41,22629000,4666000000,517000000,KS,"Farm, ranch, and other agricultural managers",40.0,22.94,47621.54,20.97,43580.95,0.030,2858190,0.01399,46200000,0.09448,100.99567,11.19048
107,2010,Michigan,2400000,2100000,150,315000000,1920000,3835000000,384.27,6483000,2355000000,234000000,MI,"Farm, ranch, and other agricultural managers",30.0,34.0,70640.0,34.0,69720.0,0.009,9877510,0.00304,9980000,0.19238,235.97194,23.44689
108,2010,Michigan,2400000,2100000,150,315000000,1920000,3835000000,384.27,6483000,2355000000,234000000,MI,"Agricultural Workers, All Other",170.0,14.0,29360.0,12.0,25520.0,0.045,9877510,0.01721,9980000,0.19238,235.97194,23.44689
109,2010,Minnesota,7700000,7300000,177,1292100000,7084000,7506000000,285.4,19818000,6113000000,885000000,MN,"Farm, ranch, and other agricultural managers",30.0,32.0,65770.0,32.0,67300.0,0.013,5310828,0.00565,26300000,0.26935,232.43346,33.65019
110,2010,Minnesota,7700000,7300000,177,1292100000,7084000,7506000000,285.4,19818000,6113000000,885000000,MN,"Agricultural Workers, All Other",560.0,12.0,24350.0,11.0,23140.0,0.218,5310828,0.10544,26300000,0.26935,232.43346,33.65019
111,2010,Missouri,3150000,3000000,123,369000000,2488000,4299000000,149.79,13110000,3484000000,319000000,MO,"Farm, ranch, and other agricultural managers",80.0,30.0,62770.0,28.0,58640.0,0.030,5995974,0.01334,28700000,0.08669,121.39373,11.11498
112,2010,Missouri,3150000,3000000,123,369000000,2488000,4299000000,149.79,13110000,3484000000,319000000,MO,"Agricultural Workers, All Other",80.0,10.0,20060.0,9.0,19660.0,0.030,5995974,0.01334,28700000,0.08669,121.39373,11.11498
