Year,ST,STATE,OCC_TITLE,TOT_EMP,H_MEAN,A_MEAN,H_MEDIAN,A_MEDIAN,JOBS_1000
2005,SC,South Carolina,"Farm, ranch, and other agricultural managers",40,23,47480,24,49980,
2005,SC,South Carolina,"Agricultural workers, all other",270,10,20380,9,19700,
2005,TN,Tennessee,"Farm, ranch, and other agricultural managers",30,18,36610,18,37490,
2005,TN,Tennessee,"Agricultural workers, all other",100,11,22150,11,22210,
2005,TX,Texas,"Farm, ranch, and other agricultural managers",210,20,41250,20,41300,
2005,TX,Texas,"Agricultural workers, all other",120,8,16090,7,15520,
2005,UT,Utah,"Farm, ranch, and other agricultural managers",40,32,66440,31,63970,
2005,UT,Utah,"Agricultural workers, all other",**,13,26160,11,22670,
2005,VA,Virginia,"Farm, ranch, and other agricultural managers",50,27,55860,29,61050,
2005,VA,Virginia,"Agricultural workers, all other",120,10,20280,9,19600,
2005,WA,Washington,"Farm, ranch, and other agricultural managers",70,36,74260,33,67800,
2005,WA,Washington,"Agricultural workers, all other",800,15,30250,15,30560,
2005,WV,West Virginia,"Farm, ranch, and other agricultural managers",30,19,39590,17,36000,
2005,WI,Wisconsin,"Farm, ranch, and other agricultural managers",30,28,57190,28,59160,
2005,WI,Wisconsin,"Agricultural workers, all other",230,11,22290,10,20350,
2005,WY,Wyoming,"Agricultural workers, all other",110,14,28230,11,22580,
2005,PR,Puerto Rico,"Agricultural workers, all other",**,7,14340,6,12840,
2006,AL,Alabama,"Farm, ranch, and other agricultural managers",30,24,49820,22,45280,
2006,AL,Alabama,"Agricultural workers, all other",120,10,20470,8,17370,
2006,AK,Alaska,"Agricultural workers, all other",**,14,30130,15,30270,
2006,AZ,Arizona,"Farm, ranch, and other agricultural managers",100,36,74460,35,73500,
2006,AZ,Arizona,"Agricultural workers, all other",**,14,29900,13,27880,
2006,AR,Arkansas,"Farm, ranch, and other agricultural managers",60,28,59260,29,60220,
2006,AR,Arkansas,"Agricultural workers, all other",190,10,20310,9,17870,
2006,CA,California,"Farm, ranch, and other agricultural managers",590,30,62170,27,56730,
2006,CA,California,"Agricultural workers, all other",2350,13,26650,12,24190,
2006,CO,Colorado,"Farm, ranch, and other agricultural managers",60,29,60630,21,43210,
2006,CO,Colorado,"Agricultural workers, all other",90,12,25940,11,22910,
2006,CT,Connecticut,"Farm, ranch, and other agricultural managers",40,41,84780,29,59520,
2006,CT,Connecticut,"Agricultural workers, all other",90,13,27630,10,19770,
2006,FL,Florida,"Farm, ranch, and other agricultural managers",160,43,89530,49,101450,
2006,FL,Florida,"Agricultural workers, all other",250,8,17500,7,14860,
2006,GA,Georgia,"Agricultural workers, all other",240,9,19300,9,18820,
2006,ID,Idaho,"Farm, ranch, and other agricultural managers",160,27,56430,25,51710,
2006,ID,Idaho,"Agricultural workers, all other",400,12,24330,12,24020,
2006,IL,Illinois,"Farm, ranch, and other agricultural managers",**,18,37070,21,42920,
2006,IL,Illinois,"Agricultural workers, all other",120,18,36650,15,31230,
2006,IN,Indiana,"Farm, ranch, and other agricultural managers",40,22,46420,21,43960,
2006,IA,Iowa,"Farm, ranch, and other agricultural managers",110,25,52090,24,49070,
2006,IA,Iowa,"Agricultural workers, all other",430,14,29810,10,21760,
2006,KS,Kansas,"Farm, ranch, and other agricultural managers",70,28,57540,28,57780,
2006,KS,Kansas,"Agricultural workers, all other",50,11,23160,9,19480,
2006,KY,Kentucky,"Farm, ranch, and other agricultural managers",110,27,55550,23,47920,
2006,LA,Louisiana,"Farm, ranch, and other agricultural managers",60,28,58690,27,56680,
2006,LA,Louisiana,"Agricultural workers, all other",300,13,27900,12,24080,
2006,MD,Maryland,"Agricultural workers, all other",70,17,34910,15,30480,
2006,MA,Massachusetts,"Farm, ranch, and other agricultural managers",60,18,38290,18,37140,
2006,MI,Michigan,"Agricultural workers, all other",220,14,30010,11,22270,
2006,MN,Minnesota,"Agricultural workers, all other",240,10,19770,9,18700,
2006,MS,Mississippi,"Farm, ranch, and other agricultural managers",40,27,55220,25,51570,
2006,MO,Missouri,"Farm, ranch, and other agricultural managers",50,35,71850,27,56320,
2006,MO,Missouri,"Agricultural workers, all other",**,11,22360,10,21260,
2006,MT,Montana,"Agricultural workers, all other",**,12,24220,8,17430,
2006,NE,Nebraska,"Farm, ranch, and other agricultural managers",**,25,52670,21,43560,
2006,NE,Nebraska,"Agricultural workers, all other",70,13,26660,11,22920,
2006,NV,Nevada,"Agricultural workers, all other",40,18,36790,18,37170,
2006,NJ,New Jersey,"Farm, ranch, and other agricultural managers",30,34,71590,34,71660,
2006,NM,New Mexico,"Farm, ranch, and other agricultural managers",30,23,47790,22,46520,
2006,NM,New Mexico,"Agricultural workers, all other",50,9,18290,9,18290,
2006,NY,New York,"Farm, ranch, and other agricultural managers",60,37,76010,32,67540,
2006,NY,New York,"Agricultural workers, all other",90,16,32300,15,31260,
2006,NC,North Carolina,"Farm, ranch, and other agricultural managers",50,18,38150,19,39650,
2006,NC,North Carolina,"Agricultural workers, all other",120,12,24360,9,18740,
2006,ND,North Dakota,"Agricultural workers, all other",70,11,23280,11,22100,
2006,OH,Ohio,"Farm, ranch, and other agricultural managers",40,28,57460,24,49640,
2006,OH,Ohio,"Agricultural workers, all other",**,10,21340,7,15060,
2006,OK,Oklahoma,"Agricultural workers, all other",**,10,21660,9,17960,
2006,OR,Oregon,"Farm, ranch, and other agricultural managers",90,23,47760,23,47480,
2006,OR,Oregon,"Agricultural workers, all other",280,9,19000,8,15870,
2006,PA,Pennsylvania,"Farm, ranch, and other agricultural managers",100,25,51000,24,49920,
2006,PA,Pennsylvania,"Agricultural workers, all other",60,12,24150,10,21460,
2006,SC,South Carolina,"Agricultural workers, all other",290,10,20610,9,19440,
2006,SD,South Dakota,"Farm, ranch, and other agricultural managers",**,21,43850,18,37890,
2006,TN,Tennessee,"Agricultural workers, all other",220,10,20870,10,20910,
2006,TX,Texas,"Farm, ranch, and other agricultural managers",150,21,42850,20,41520,
2006,TX,Texas,"Agricultural workers, all other",**,9,17890,7,13930,
2006,UT,Utah,"Farm, ranch, and other agricultural managers",40,31,65090,30,62550,
2006,VA,Virginia,"Agricultural workers, all other",120,10,21590,10,20210,
2006,WA,Washington,"Farm, ranch, and other agricultural managers",70,39,81490,39,81420,
2006,WA,Washington,"Agricultural workers, all other",620,13,27340,13,26650,
2006,WV,West Virginia,"Farm, ranch, and other agricultural managers",30,19,39430,18,36480,
2006,WI,Wisconsin,"Farm, ranch, and other agricultural managers",30,29,59340,29,61120,
2006,WI,Wisconsin,"Agricultural workers, all other",120,13,26130,13,26090,
2006,WY,Wyoming,"Agricultural workers, all other",100,14,28340,9,19080,
2006,PR,Puerto Rico,"Agricultural workers, all other",30,8,15870,7,14150,
2007,AL,Alabama,"Agricultural workers, all other",110,11,21890,9,17840,
2007,AZ,Arizona,"Farm, ranch, and other agricultural managers",90,34,71220,28,58530,
2007,AZ,Arizona,"Agricultural workers, all other",150,13,26140,11,22530,
2007,AR,Arkansas,"Farm, ranch, and other agricultural managers",90,27,55650,27,55920,
2007,AR,Arkansas,"Agricultural workers, all other",150,10,20170,8,17360,
2007,CA,California,"Farm, ranch, and other agricultural managers",830,34,69770,30,61890,
2007,CA,California,"Agricultural workers, all other",2430,14,29980,14,29180,
2007,CO,Colorado,"Farm, ranch, and other agricultural managers",70,32,66440,34,71490,
2007,CO,Colorado,"Agricultural workers, all other",80,15,30180,15,30190,
2007,CT,Connecticut,"Agricultural workers, all other",90,17,36250,17,35170,
2007,FL,Florida,"Farm, ranch, and other agricultural managers",140,43,89840,45,94600,
2007,FL,Florida,"Agricultural workers, all other",120,10,21480,8,17520,
2007,GA,Georgia,"Agricultural workers, all other",280,9,19420,9,19210,
2007,ID,Idaho,"Farm, ranch, and other agricultural managers",130,26,54740,26,53530,
2007,ID,Idaho,"Agricultural workers, all other",300,13,26100,13,25990,
2007,IL,Illinois,"Farm, ranch, and other agricultural managers",**,21,43190,24,49530,
2007,IL,Illinois,"Agricultural workers, all other",70,19,38760,17,35650,
2007,IN,Indiana,"Farm, ranch, and other agricultural managers",80,26,54250,25,51030,
2007,IN,Indiana,"Agricultural workers, all other",40,14,29530,9,19100,
2007,IA,Iowa,"Farm, ranch, and other agricultural managers",70,23,47200,19,40310,
2007,IA,Iowa,"Agricultural workers, all other",810,14,29470,12,24360,
2007,KS,Kansas,"Farm, ranch, and other agricultural managers",40,28,57440,25,52420,
2007,KS,Kansas,"Agricultural workers, all other",60,11,23500,10,19800,
2007,KY,Kentucky,"Farm, ranch, and other agricultural managers",110,23,47100,19,39060,
2007,KY,Kentucky,"Agricultural workers, all other",50,9,18200,7,15310,
2007,LA,Louisiana,"Farm, ranch, and other agricultural managers",50,27,56810,26,54930,
2007,LA,Louisiana,"Agricultural workers, all other",220,14,28200,13,26080,
2007,MD,Maryland,"Agricultural workers, all other",50,19,39530,18,38020,
2007,MA,Massachusetts,"Farm, ranch, and other agricultural managers",**,19,40100,18,38240,
2007,MI,Michigan,"Farm, ranch, and other agricultural managers",70,26,54870,26,53570,
2007,MI,Michigan,"Agricultural workers, all other",80,20,40830,21,42760,
2007,MN,Minnesota,"Agricultural workers, all other",360,11,22990,10,21320,
2007,MS,Mississippi,"Farm, ranch, and other agricultural managers",**,21,44310,20,42410,
2007,MO,Missouri,"Farm, ranch, and other agricultural managers",40,36,74530,27,55770,
2007,MO,Missouri,"Agricultural workers, all other",**,11,23120,11,22570,
2007,MT,Montana,"Agricultural workers, all other",**,12,25010,9,18530,
2007,NE,Nebraska,"Farm, ranch, and other agricultural managers",**,27,55530,22,45550,
2007,NE,Nebraska,"Agricultural workers, all other",**,14,29200,12,24840,
2007,NV,Nevada,"Agricultural workers, all other",30,20,41440,20,41510,
2007,NJ,New Jersey,"Farm, ranch, and other agricultural managers",40,25,52650,24,50220,
2007,NM,New Mexico,"Farm, ranch, and other agricultural managers",30,25,52230,26,53610,
2007,NM,New Mexico,"Agricultural workers, all other",50,9,19010,8,17560,
2007,NY,New York,"Farm, ranch, and other agricultural managers",70,36,75330,32,66360,
2007,NY,New York,"Agricultural workers, all other",130,14,29530,14,28440,
2007,NC,North Carolina,"Agricultural workers, all other",90,11,23650,9,19220,
2007,ND,North Dakota,"Agricultural workers, all other",140,11,23700,11,23160,
2007,OH,Ohio,"Farm, ranch, and other agricultural managers",40,27,55970,25,51860,
2007,OH,Ohio,"Agricultural workers, all other",80,9,19730,8,15920,
2007,OK,Oklahoma,"Farm, ranch, and other agricultural managers",60,29,60660,33,68330,
2007,OK,Oklahoma,"Agricultural workers, all other",40,9,18390,8,17610,
2007,OR,Oregon,"Farm, ranch, and other agricultural managers",50,29,60700,30,61770,
2007,OR,Oregon,"Agricultural workers, all other",270,10,20430,8,17340,
2007,PA,Pennsylvania,"Farm, ranch, and other agricultural managers",**,29,59630,23,48240,
2007,PA,Pennsylvania,"Agricultural workers, all other",220,13,26640,13,26410,
2007,SC,South Carolina,"Agricultural workers, all other",70,11,23810,9,19720,
2007,SD,South Dakota,"Farm, ranch, and other agricultural managers",**,22,45110,19,39320,
2007,TN,Tennessee,"Farm, ranch, and other agricultural managers",50,33,68960,27,56150,
2007,TN,Tennessee,"Agricultural workers, all other",70,11,23810,12,25170,
2007,TX,Texas,"Farm, ranch, and other agricultural managers",120,24,50100,23,48020,
2007,TX,Texas,"Agricultural workers, all other",100,12,24670,10,21070,
2007,UT,Utah,"Farm, ranch, and other agricultural managers",50,31,65300,30,63170,
2007,VA,Virginia,"Agricultural workers, all other",130,10,20300,9,18100,
2007,WA,Washington,"Farm, ranch, and other agricultural managers",60,40,84020,34,71700,
2007,WA,Washington,"Agricultural workers, all other",430,15,30510,14,30150,
2007,WV,West Virginia,"Agricultural workers, all other",30,11,23180,11,22850,
2007,WI,Wisconsin,"Farm, ranch, and other agricultural managers",90,27,56800,29,60550,
2007,WI,Wisconsin,"Agricultural workers, all other",**,11,22420,10,20240,
2007,WY,Wyoming,"Agricultural workers, all other",70,15,31300,12,24600,
2007,PR,Puerto Rico,"Agricultural workers, all other",30,10,21100,11,21900,
2008,AL,Alabama,"Agricultural workers, all other",200,10,20190,10,20770,
2008,AZ,Arizona,"Farm, ranch, and other agricultural managers",100,38,80030,32,67090,
2008,AZ,Arizona,"Agricultural workers, all other",130,14,28560,12,24190,
2008,AR,Arkansas,"Farm, ranch, and other agricultural managers",120,26,53130,25,51510,
2008,AR,Arkansas,"Agricultural workers, all other",80,10,20620,9,18700,
2008,CA,California,"Farm, ranch, and other agricultural managers",910,34,70470,30,62010,
2008,CA,California,"Agricultural workers, all other",2270,14,29950,14,28760,
2008,CO,Colorado,"Farm, ranch, and other agricultural managers",**,35,73370,37,76510,
2008,CO,Colorado,"Agricultural workers, all other",50,17,34600,15,31580,
2008,CT,Connecticut,"Agricultural workers, all other",50,*,*,*,*,
2008,FL,Florida,"Farm, ranch, and other agricultural managers",130,43,90320,42,87640,
2008,FL,Florida,"Agricultural workers, all other",100,10,21680,9,18750,
2008,GA,Georgia,"Farm, ranch, and other agricultural managers",30,30,62470,24,49210,
2008,GA,Georgia,"Agricultural workers, all other",290,10,19960,9,18030,
2008,HI,Hawaii,"Agricultural workers, all other",30,16,33170,15,31600,
2008,ID,Idaho,"Farm, ranch, and other agricultural managers",110,33,68620,30,62460,
2008,ID,Idaho,"Agricultural workers, all other",170,16,34230,15,31200,
2008,IL,Illinois,"Farm, ranch, and other agricultural managers",110,20,42380,15,30380,
2008,IL,Illinois,"Agricultural workers, all other",150,21,43960,21,44690,
2008,IN,Indiana,"Farm, ranch, and other agricultural managers",50,29,59360,26,53430,
2008,IA,Iowa,"Farm, ranch, and other agricultural managers",100,29,59840,27,55310,
2008,IA,Iowa,"Agricultural workers, all other",990,11,22710,10,21730,
2008,KS,Kansas,"Farm, ranch, and other agricultural managers",70,33,67620,34,70590,
2008,KS,Kansas,"Agricultural workers, all other",**,10,19980,9,19630,
2008,KY,Kentucky,"Farm, ranch, and other agricultural managers",90,24,49870,20,40970,
2008,KY,Kentucky,"Agricultural workers, all other",50,10,20210,10,20520,
2008,LA,Louisiana,"Farm, ranch, and other agricultural managers",60,32,66330,30,61620,
2008,LA,Louisiana,"Agricultural workers, all other",150,15,31090,13,28040,
2008,ME,Maine,"Farm, ranch, and other agricultural managers",30,26,53550,26,54890,
2008,MA,Massachusetts,"Farm, ranch, and other agricultural managers",**,21,44000,21,43220,
2008,MI,Michigan,"Agricultural workers, all other",**,17,35380,15,31530,
2008,MN,Minnesota,"Agricultural workers, all other",490,11,23030,10,21250,
2008,MS,Mississippi,"Farm, ranch, and other agricultural managers",**,20,42600,21,44620,
2008,MO,Missouri,"Farm, ranch, and other agricultural managers",**,27,55790,19,38600,
2008,MT,Montana,"Agricultural workers, all other",80,16,33720,16,32480,
2008,NE,Nebraska,"Farm, ranch, and other agricultural managers",100,31,65140,25,52490,
2008,NE,Nebraska,"Agricultural workers, all other",**,15,31300,13,26940,
2008,NJ,New Jersey,"Farm, ranch, and other agricultural managers",**,25,51600,16,33310,
2008,NM,New Mexico,"Farm, ranch, and other agricultural managers",60,21,42730,18,37050,
2008,NY,New York,"Farm, ranch, and other agricultural managers",50,28,57930,26,53730,
2008,NY,New York,"Agricultural workers, all other",110,15,31360,15,30250,
2008,NC,North Carolina,"Agricultural workers, all other",**,11,23860,9,19540,
2008,ND,North Dakota,"Agricultural workers, all other",90,10,20980,10,20910,
2008,OH,Ohio,"Farm, ranch, and other agricultural managers",50,27,56260,26,53230,
2008,OH,Ohio,"Agricultural workers, all other",150,15,31300,17,34400,
2008,OK,Oklahoma,"Farm, ranch, and other agricultural managers",40,30,61900,35,72030,
2008,OK,Oklahoma,"Agricultural workers, all other",**,10,20740,10,21760,
2008,OR,Oregon,"Farm, ranch, and other agricultural managers",**,28,58790,29,60400,
2008,OR,Oregon,"Agricultural workers, all other",290,10,21660,9,18250,
2008,PA,Pennsylvania,"Farm, ranch, and other agricultural managers",**,36,74080,25,51710,
2008,PA,Pennsylvania,"Agricultural workers, all other",200,14,28150,13,27940,
2008,SC,South Carolina,"Agricultural workers, all other",40,12,24420,9,18440,
2008,TN,Tennessee,"Farm, ranch, and other agricultural managers",30,34,69990,27,57040,
2008,TN,Tennessee,"Agricultural workers, all other",70,10,21460,10,20120,
2008,TX,Texas,"Farm, ranch, and other agricultural managers",130,25,52170,23,47220,
2008,TX,Texas,"Agricultural workers, all other",140,11,23380,10,20850,
2008,UT,Utah,"Farm, ranch, and other agricultural managers",50,27,55990,27,56380,
2008,UT,Utah,"Agricultural workers, all other",40,14,28420,14,28110,
2008,VA,Virginia,"Agricultural workers, all other",160,12,24210,11,22190,
2008,WA,Washington,"Farm, ranch, and other agricultural managers",80,37,76650,34,70960,
2008,WA,Washington,"Agricultural workers, all other",330,16,33680,17,34510,
2008,WI,Wisconsin,"Farm, ranch, and other agricultural managers",80,26,54240,24,50920,
2009,AL,Alabama,"Agricultural workers, all other",240,10,21420,10,20940,0.126
2009,AZ,Arizona,"Farm, ranch, and other agricultural managers",110,38,78780,34,70710,0.044
2009,AZ,Arizona,"Agricultural workers, all other",110,13,26510,12,25030,0.043
2009,AR,Arkansas,"Farm, ranch, and other agricultural managers",120,25,52630,24,50340,0.103
2009,AR,Arkansas,"Agricultural workers, all other",140,9,18370,8,17380,0.121
2009,CA,California,"Farm, ranch, and other agricultural managers",950,38,79260,33,68160,0.065
2009,CA,California,"Agricultural workers, all other",1650,15,31130,14,28990,0.114
2009,CO,Colorado,"Agricultural workers, all other",**,14,29500,14,28820,**
2009,FL,Florida,"Farm, ranch, and other agricultural managers",90,34,69830,34,69790,0.012
2009,FL,Florida,"Agricultural workers, all other",100,13,26920,12,25390,0.014
2009,ID,Idaho,"Farm, ranch, and other agricultural managers",100,32,66810,30,62570,0.169
2009,ID,Idaho,"Agricultural workers, all other",70,17,35330,15,31770,0.109
2009,IL,Illinois,"Farm, ranch, and other agricultural managers",110,22,45950,15,31080,0.019
2009,IL,Illinois,"Agricultural workers, all other",230,22,46510,24,49540,0.040
2009,IN,Indiana,"Farm, ranch, and other agricultural managers",50,29,60240,26,54600,0.020
2009,IN,Indiana,"Agricultural workers, all other",**,13,26480,11,21880,**
2009,IA,Iowa,"Farm, ranch, and other agricultural managers",90,29,60880,25,52610,0.061
2009,IA,Iowa,"Agricultural workers, all other",830,11,23030,11,22400,0.564
2009,KS,Kansas,"Farm, ranch, and other agricultural managers",50,32,66290,31,64200,0.035
2009,KY,Kentucky,"Farm, ranch, and other agricultural managers",90,22,46430,19,40090,0.052
2009,KY,Kentucky,"Agricultural workers, all other",80,10,20110,8,16990,0.048
2009,LA,Louisiana,"Farm, ranch, and other agricultural managers",50,31,65090,31,64950,0.026
2009,LA,Louisiana,"Agricultural workers, all other",90,14,29590,14,29420,0.048
2009,ME,Maine,"Farm, ranch, and other agricultural managers",50,29,61220,29,61330,0.079
2009,MI,Michigan,"Agricultural workers, all other",140,16,34050,15,31000,0.036
2009,MN,Minnesota,"Agricultural workers, all other",610,11,23150,11,22190,0.233
2009,MS,Mississippi,"Farm, ranch, and other agricultural managers",**,20,42430,21,43920,**
2009,MS,Mississippi,"Agricultural workers, all other",140,8,16990,8,16030,0.128
2009,MO,Missouri,"Farm, ranch, and other agricultural managers",**,22,45020,19,38630,**
2009,MO,Missouri,"Agricultural workers, all other",50,12,25220,12,25030,0.017
2009,MT,Montana,"Agricultural workers, all other",90,17,34740,16,34080,0.201
2009,NE,Nebraska,"Farm, ranch, and other agricultural managers",90,28,59030,23,47470,0.099
2009,NV,Nevada,"Agricultural workers, all other",70,18,37370,17,35770,0.057
2009,NH,New Hampshire,"Agricultural workers, all other",50,15,30620,14,29500,0.074
2009,NJ,New Jersey,"Farm, ranch, and other agricultural managers",40,28,58110,27,57150,0.010
2009,NM,New Mexico,"Farm, ranch, and other agricultural managers",100,22,46550,21,43250,0.125
2009,NM,New Mexico,"Agricultural workers, all other",40,17,34920,16,34060,0.056
2009,NY,New York,"Farm, ranch, and other agricultural managers",50,30,61460,30,61890,0.006
2009,NY,New York,"Agricultural workers, all other",130,16,32410,15,30490,0.015
2009,NC,North Carolina,"Agricultural workers, all other",90,14,28320,14,30030,0.024
2009,ND,North Dakota,"Agricultural workers, all other",90,10,21560,10,21350,0.247
2009,OH,Ohio,"Farm, ranch, and other agricultural managers",50,28,59150,29,60270,0.010
2009,OH,Ohio,"Agricultural workers, all other",40,17,34860,18,38360,0.009
2009,OK,Oklahoma,"Farm, ranch, and other agricultural managers",40,28,57410,32,66000,0.024
2009,OK,Oklahoma,"Agricultural workers, all other",**,10,21300,10,21790,**
2009,OR,Oregon,"Farm, ranch, and other agricultural managers",80,33,67880,32,66630,0.051
2009,OR,Oregon,"Agricultural workers, all other",110,14,28080,12,24880,0.069
2009,PA,Pennsylvania,"Agricultural workers, all other",180,14,28960,14,28890,0.033
2009,TN,Tennessee,"Farm, ranch, and other agricultural managers",30,38,79100,29,59310,0.013
2009,TN,Tennessee,"Agricultural workers, all other",100,11,22960,10,21600,0.039
2009,TX,Texas,"Farm, ranch, and other agricultural managers",150,27,55980,25,51070,0.014
2009,TX,Texas,"Agricultural workers, all other",220,11,22000,9,18930,0.021
2009,VA,Virginia,"Agricultural workers, all other",150,12,24690,12,24080,0.042
2009,WA,Washington,"Farm, ranch, and other agricultural managers",90,36,74910,34,69750,0.034
2009,WA,Washington,"Agricultural workers, all other",430,17,34470,17,35010,0.153
2009,WI,Wisconsin,"Farm, ranch, and other agricultural managers",90,29,59710,28,57570,0.032
2009,WI,Wisconsin,"Agricultural workers, all other",150,12,24250,11,23010,0.057
2009,PR,Puerto Rico,"Agricultural workers, all other",**,22,45610,22,46460,**
2010,AL,Alabama,"Farmers, Ranchers, and Other Agricultural Managers",30,36,75490,38,78880,0.017
2010,AL,Alabama,"Agricultural Workers, All Other",310,10,21170,10,19820,0.172
2010,AZ,Arizona,"Farmers, Ranchers, and Other Agricultural Managers",110,32,67150,29,60440,0.045
2010,AZ,Arizona,"Agricultural Workers, All Other",30,16,33730,17,34450,0.014
2010,AR,Arkansas,"Farmers, Ranchers, and Other Agricultural Managers",60,29,60950,30,62040,0.052
2010,AR,Arkansas,"Agricultural Workers, All Other",260,9,19280,9,18250,0.225
2010,CA,California,"Farmers, Ranchers, and Other Agricultural Managers",950,39,80740,34,71630,0.068
2010,CA,California,"Agricultural Workers, All Other",1600,13,26990,12,24230,0.114
2010,CO,Colorado,"Agricultural Workers, All Other",70,15,30320,14,28630,0.030
2010,FL,Florida,"Farmers, Ranchers, and Other Agricultural Managers",160,32,67390,33,68110,0.022
2010,FL,Florida,"Agricultural Workers, All Other",**,13,27400,12,25000,**
2010,GA,Georgia,"Agricultural Workers, All Other",510,12,25620,10,19910,0.136
2010,ID,Idaho,"Farmers, Ranchers, and Other Agricultural Managers",90,36,75250,35,73480,0.160
2010,ID,Idaho,"Agricultural Workers, All Other",70,17,34400,16,32350,0.117
2010,IL,Illinois,"Farmers, Ranchers, and Other Agricultural Managers",150,24,50360,16,33420,0.027
2010,IL,Illinois,"Agricultural Workers, All Other",240,22,45250,24,48920,0.043
2010,IN,Indiana,"Farmers, Ranchers, and Other Agricultural Managers",60,36,74130,23,46840,0.022
